Performance,Joke,HumanScorePostJokeOnly,Notes
2019-01-30 Class Performance (Weird),robot_name_joke_2.ogg.wav,-1,
2019-01-30 Class Performance (Weird),gdpr_joke.ogg.wav,1,
2019-01-30 Class Performance (Weird),silicon_valley_joke_pt1.wav,-1,
2019-01-30 Class Performance (Weird),silicon_valley_joke_pt2.wav,-1,
2019-01-30 Class Performance (Weird),inverse_kinematics_equations.ogg.wav,-1,
2019-01-30 Class Performance (Weird),tags/inverse_kinematics_equations_negative.ogg.wav,0,
2019-01-30 Class Performance (Weird),family_joke.ogg.wav,1,
2019-01-30 Class Performance (Weird),too_robotic_joke.ogg.wav,-1,
2019-01-30 Class Performance (Weird),tags/too_robotic_joke_negative.wav,0,
2019-01-30 Class Performance (Weird),c3po_joke.ogg.wav,-1,
2019-01-30 Class Performance (Weird),rosie_joke.ogg.wav,0,
2019-01-30 Class Performance (Weird),wall-e_joke.ogg.wav,-1,
2019-01-30 Class Performance (Weird),plastic_surgery_joke.ogg.wav,-1,
2019-01-30 Class Performance (Weird),tags/plastic_surgery_joke_negative.ogg.wav,0,
2019-01-30 Class Performance (Weird),for_all_my_robots_joke.ogg.wav,0,
2019-01-30 Class Performance (Weird),tags/robot_joke_negative.ogg.wav,-1,
2019-01-30 Class Performance (Weird),closing_take_jobs.ogg.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,robot_name_joke_2.ogg.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,gdpr_joke.ogg.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,tags/gdpr_joke_positive.ogg.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,siri_backpropagate.ogg.wav,0,
2019-04-13 Cienna Nerdy Show at The Drake,silicon_valley_joke_pt1.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,silicon_valley_joke_pt2.wav,0,
2019-04-13 Cienna Nerdy Show at The Drake,rent_prices_oregon.ogg.wav,-1,
2019-04-13 Cienna Nerdy Show at The Drake,tags/rent_prices_oregon_negative.ogg.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,job_joke.ogg.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,inverse_kinematics_equations.ogg.wav,1,
2019-04-13 Cienna Nerdy Show at The Drake,tags/inverse_kinematics_equations_positive_2.ogg.wav,0,
