Performance,Joke,HumanScorePostJokeOnly,Notes
2019-04-13 Cienna Nerdy Show at The Drake,joke_0.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_1.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_10.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_11.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_12.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_13.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_14.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_15.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_16.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_17.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_18.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_19.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_2.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_20.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_21.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_22.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_23.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_24.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_25.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_26.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_27.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_28.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_29.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_3.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_30.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_31.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_32.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_33.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_34.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_35.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_36.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_37.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_4.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_5.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_6.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_7.eaf,1,
2019-04-13 Cienna Nerdy Show at The Drake,joke_8.eaf,0,
2019-04-13 Cienna Nerdy Show at The Drake,joke_9.eaf,1,
2019-04-18 Bombs Away Cafe,joke_0.eaf,1,
2019-04-18 Bombs Away Cafe,joke_1.eaf,0,
2019-04-18 Bombs Away Cafe,joke_10.eaf,1,
2019-04-18 Bombs Away Cafe,joke_11.eaf,0,
2019-04-18 Bombs Away Cafe,joke_12.eaf,1,
2019-04-18 Bombs Away Cafe,joke_13.eaf,1,
2019-04-18 Bombs Away Cafe,joke_14.eaf,1,
2019-04-18 Bombs Away Cafe,joke_15.eaf,0,
2019-04-18 Bombs Away Cafe,joke_16.eaf,0,
2019-04-18 Bombs Away Cafe,joke_17.eaf,1,
2019-04-18 Bombs Away Cafe,joke_18.eaf,0,
2019-04-18 Bombs Away Cafe,joke_19.eaf,0,
2019-04-18 Bombs Away Cafe,joke_2.eaf,0,
2019-04-18 Bombs Away Cafe,joke_20.eaf,1,
2019-04-18 Bombs Away Cafe,joke_3.eaf,1,
2019-04-18 Bombs Away Cafe,joke_4.eaf,0,
2019-04-18 Bombs Away Cafe,joke_5.eaf,1,
2019-04-18 Bombs Away Cafe,joke_6.eaf,1,
2019-04-18 Bombs Away Cafe,joke_7.eaf,1,
2019-04-18 Bombs Away Cafe,joke_8.eaf,1,
2019-04-18 Bombs Away Cafe,joke_9.eaf,0,
2019-04-19 Singu-hilarity,joke_0.eaf,1,
2019-04-19 Singu-hilarity,joke_1.eaf,0,
2019-04-19 Singu-hilarity,joke_10.eaf,1,
2019-04-19 Singu-hilarity,joke_11.eaf,1,
2019-04-19 Singu-hilarity,joke_12.eaf,1,
2019-04-19 Singu-hilarity,joke_13.eaf,1,
2019-04-19 Singu-hilarity,joke_14.eaf,0,
2019-04-19 Singu-hilarity,joke_15.eaf,1,
2019-04-19 Singu-hilarity,joke_16.eaf,1,
2019-04-19 Singu-hilarity,joke_17.eaf,0,
2019-04-19 Singu-hilarity,joke_18.eaf,0,
2019-04-19 Singu-hilarity,joke_19.eaf,1,
2019-04-19 Singu-hilarity,joke_2.eaf,0,
2019-04-19 Singu-hilarity,joke_20.eaf,1,
2019-04-19 Singu-hilarity,joke_21.eaf,1,
2019-04-19 Singu-hilarity,joke_22.eaf,1,
2019-04-19 Singu-hilarity,joke_23.eaf,0,
2019-04-19 Singu-hilarity,joke_24.eaf,0,
2019-04-19 Singu-hilarity,joke_25.eaf,0,
2019-04-19 Singu-hilarity,joke_26.eaf,1,
2019-04-19 Singu-hilarity,joke_27.eaf,0,
2019-04-19 Singu-hilarity,joke_28.eaf,1,
2019-04-19 Singu-hilarity,joke_29.eaf,1,
2019-04-19 Singu-hilarity,joke_3.eaf,1,
2019-04-19 Singu-hilarity,joke_30.eaf,1,
2019-04-19 Singu-hilarity,joke_31.eaf,1,
2019-04-19 Singu-hilarity,joke_32.eaf,1,
2019-04-19 Singu-hilarity,joke_33.eaf,1,
2019-04-19 Singu-hilarity,joke_34.eaf,1,
2019-04-19 Singu-hilarity,joke_35.eaf,1,
2019-04-19 Singu-hilarity,joke_36.eaf,1,
2019-04-19 Singu-hilarity,joke_37.eaf,0,
2019-04-19 Singu-hilarity,joke_38.eaf,1,
2019-04-19 Singu-hilarity,joke_39.eaf,0,
2019-04-19 Singu-hilarity,joke_4.eaf,0,
2019-04-19 Singu-hilarity,joke_40.eaf,0,
2019-04-19 Singu-hilarity,joke_41.eaf,1,
2019-04-19 Singu-hilarity,joke_5.eaf,0,
2019-04-19 Singu-hilarity,joke_6.eaf,0,
2019-04-19 Singu-hilarity,joke_7.eaf,0,
2019-04-19 Singu-hilarity,joke_8.eaf,0,
2019-04-19 Singu-hilarity,joke_9.eaf,0,
