Performance,# of jokes,RBF,Linear,Poly
2019-01-30 Class Performance (Weird),17,1.0,0.941,1.0
2019-08-15 Bombs Away Cafe,38,0.737,0.763,0.605
2019-08-15 Phoebe (Weird),7,1.0,0.714,1.0
2019-08-23 Spectrum,32,0.719,0.781,0.406
2019-09-05 Stand-up Science,27,0.741,0.741,0.37
2019-09-06 Naomi and Sara Laugh at Routine (Weird),59,0.915,0.881,0.983
2019-09-06 RoboCom,56,0.732,0.75,0.607
2019-09-19 Bombs Away Cafe,33,0.697,0.545,0.515
2019-09-21 Laugh Track Town USA,34,0.559,0.647,0.676
2019-09-28 OSU Cascades (Weird),36,0.917,0.972,1.0
2019-10-11 Singu-hilarity,34,0.676,0.559,0.471
2019-04-13 Cienna Nerdy Show at The Drake,38,0.5,0.526,0.368
2019-11-29 Comedy the Musical,21,0.476,0.524,0.381
2019-11-29 Crapshoot,21,0.571,0.524,0.381
2019-12-06 Silent Background Recording,60,1.0,0.983,1.0
2019-12-09 Singu-Hilarity in San Francisco,56,0.589,0.625,0.411
2020-01-12 Singu-Hilarity in Corvallis,64,0.797,0.766,0.781
2020-01-25 Sam Bond_s Bleeping Funny,35,0.771,0.829,0.571
2020-01-29 Class Performance,23,0.826,0.826,0.87
2020-01-31 Mt Caz,76,0.737,0.711,0.579
2020-02-19 Soundbox,76,0.974,0.974,1.0
2020-03-04 Bombs Away,36,0.639,0.5,1.0
2019-04-18 Bombs Away Cafe,21,0.714,0.667,0.476
2020-05-21 Silent Recording 2,51,1.0,1.0,1.0
2019-04-19 Addison Performance (Weird),42,1.0,0.976,1.0
2019-04-19 Singu-hilarity,42,0.69,0.548,0.476
2019-04-22 Class Performance,21,0.905,0.857,0.905
2019-05-16 Bombs Away Cafe,9,0.667,0.667,0.111
2019-06-19 Trek Theater,32,0.438,0.625,1.0
2019-06-20 Bombs Away Cafe,14,0.643,0.714,0.5
,,,,
Overall Accuracy,#of Jokes,avgRBF,avgLinear,avgPoly
final,1111,0.754,0.738,0.681
