Classifier_Rating,Joke,Human_Rating,Performance
0,1,0,0
0,2,0,0
0,12,0,0
0,13,0,0
0,14,0,0
0,106,0,0
0,16,0,0
0,27,0,0
0,4,0,0
0,5,0,0
0,8,0,0
0,112,0,0
0,9,0,0
0,10,0,0
0,116,0,0
0,11,0,0
0,1,0,9
1,2,0,9
1,105,0,9
1,9,0,9
0,103,0,9
1,10,0,9
1,116,1,9
0,11,0,9
0,12,0,9
1,13,1,9
0,14,0,9
0,106,1,9
0,104,0,9
1,15,1,9
1,16,1,9
0,108,1,9
0,17,1,9
1,18,1,9
0,111,0,9
1,29,1,9
0,20,1,9
1,30,1,9
1,124,0,9
1,3,1,9
1,22,0,9
1,31,1,9
0,101,0,9
0,32,0,9
1,25,1,9
1,102,0,9
0,26,1,9
1,27,0,9
0,4,0,9
0,5,0,9
0,28,0,9
1,107,0,9
0,7,0,9
1,8,0,9
1,1,0,10
0,20,0,10
1,33,0,10
0,34,0,10
0,30,0,10
1,22,0,10
0,27,0,10
0,1,0,11
0,2,1,11
0,11,1,11
1,12,0,11
0,13,0,11
1,14,1,11
1,15,1,11
0,16,1,11
1,17,0,11
0,18,1,11
1,29,1,11
0,20,0,11
1,3,1,11
1,30,1,11
1,22,1,11
1,31,1,11
0,32,1,11
1,25,1,11
1,26,1,11
1,33,1,11
1,34,1,11
0,35,0,11
0,36,0,11
0,4,0,11
0,37,0,11
0,27,0,11
0,5,0,11
0,28,0,11
0,7,1,11
0,8,0,11
0,9,1,11
1,10,1,11
1,1,1,12
0,2,1,12
0,11,1,12
0,12,1,12
0,13,0,12
1,14,1,12
0,15,1,12
1,16,1,12
1,17,0,12
1,18,1,12
1,29,1,12
1,20,1,12
1,3,1,12
0,30,1,12
1,22,1,12
0,31,1,12
1,32,0,12
1,25,1,12
0,26,1,12
0,27,1,12
0,4,0,12
0,5,0,12
0,28,0,12
1,7,0,12
0,8,0,12
0,9,0,12
1,10,0,12
0,1,0,13
0,2,0,13
0,7,0,13
0,8,0,13
0,105,0,13
0,9,0,13
0,103,0,13
0,70,0,13
0,10,0,13
0,110,0,13
0,11,0,13
0,12,0,13
0,104,0,13
0,13,0,13
0,14,0,13
0,138,0,13
0,15,0,13
0,17,0,13
0,18,0,13
0,111,0,13
0,44,0,13
0,16,0,13
0,108,0,13
1,3,0,13
0,29,0,13
0,30,0,13
0,124,0,13
0,22,0,13
0,31,0,13
0,101,0,13
0,32,0,13
0,78,0,13
0,94,0,13
0,95,0,13
0,62,0,13
0,33,0,13
1,34,0,13
0,81,0,13
0,20,0,13
0,84,0,13
0,86,0,13
1,77,0,13
0,121,0,13
0,82,1,13
0,35,0,13
1,120,0,13
0,115,0,13
0,36,0,13
0,37,0,13
1,71,0,13
0,123,0,13
0,25,0,13
0,102,0,13
0,26,0,13
0,27,0,13
0,4,0,13
0,5,0,13
1,28,0,13
0,139,0,13
1,1,1,14
1,2,1,14
1,7,0,14
1,8,0,14
1,105,0,14
1,9,0,14
0,103,0,14
0,70,0,14
1,10,1,14
0,11,0,14
0,12,0,14
1,13,1,14
0,104,1,14
1,14,1,14
1,106,1,14
1,15,1,14
0,17,0,14
0,18,1,14
0,111,0,14
1,44,1,14
1,16,1,14
0,118,0,14
1,29,1,14
1,3,1,14
1,30,1,14
1,22,1,14
1,31,1,14
0,101,0,14
0,32,0,14
0,78,0,14
1,94,0,14
0,95,0,14
1,33,1,14
1,34,1,14
0,62,0,14
1,81,0,14
1,20,1,14
0,84,0,14
0,86,1,14
1,77,0,14
0,121,0,14
1,82,1,14
0,35,0,14
0,113,0,14
0,36,0,14
0,120,0,14
1,37,0,14
1,71,0,14
0,25,0,14
0,102,0,14
1,26,0,14
1,27,0,14
0,4,0,14
0,5,0,14
0,28,0,14
1,107,1,14
0,1,1,15
0,62,0,15
0,18,1,15
0,117,1,15
1,44,1,15
1,30,1,15
0,124,1,15
1,22,1,15
0,32,0,15
1,78,1,15
0,94,0,15
0,95,1,15
0,120,0,15
0,81,0,15
0,84,0,15
1,86,1,15
0,77,1,15
0,121,0,15
1,82,1,15
1,125,0,15
0,35,0,15
0,36,0,15
0,37,0,15
0,9,0,15
1,71,1,15
0,123,0,15
0,27,0,15
0,103,0,15
1,70,0,15
0,122,0,15
0,10,1,15
1,116,1,15
0,17,1,15
1,1,0,16
1,2,0,16
0,17,0,16
1,18,0,16
1,117,0,16
0,44,0,16
1,16,0,16
0,118,0,16
1,29,1,16
1,30,1,16
1,109,1,16
1,22,1,16
0,104,0,16
0,78,1,16
0,94,0,16
1,95,0,16
0,81,1,16
0,84,0,16
1,86,1,16
0,77,0,16
0,126,0,16
1,82,1,16
0,125,0,16
0,3,1,16
1,25,0,16
0,102,0,16
1,26,1,16
0,27,0,16
0,62,0,16
0,120,0,16
1,9,0,16
0,70,0,16
0,10,0,16
1,116,1,16
0,1,0,17
0,2,0,17
0,8,0,17
0,112,0,17
0,9,0,17
0,10,0,17
0,116,0,17
0,11,0,17
0,12,0,17
0,13,0,17
0,14,0,17
0,106,0,17
0,104,0,17
0,17,0,17
1,18,0,17
0,117,0,17
0,44,0,17
0,16,0,17
0,118,0,17
0,33,0,17
0,34,0,17
0,81,0,17
0,78,0,17
0,62,0,17
0,32,0,17
0,20,0,17
1,82,0,17
0,136,0,17
0,29,0,17
0,27,0,17
0,134,0,17
0,4,0,17
0,5,0,17
0,28,0,17
0,107,0,17
0,7,0,17
0,1,1,18
0,2,0,18
1,10,0,18
1,116,1,18
0,17,0,18
1,18,1,18
0,129,1,18
1,44,1,18
0,16,1,18
0,118,1,18
1,29,1,18
1,30,1,18
0,104,0,18
1,22,1,18
0,78,1,18
0,94,0,18
0,95,1,18
0,81,1,18
0,84,0,18
1,86,0,18
0,77,0,18
1,121,1,18
1,82,1,18
1,3,1,18
1,25,1,18
0,102,0,18
0,26,1,18
0,27,0,18
0,62,0,18
0,120,0,18
0,9,0,18
0,103,0,18
0,70,0,18
0,122,0,18
1,1,1,1
1,2,1,1
0,105,1,1
0,9,1,1
0,103,0,1
0,10,1,1
1,110,0,1
0,11,0,1
0,12,0,1
0,13,0,1
0,14,1,1
1,106,0,1
1,104,1,1
1,15,1,1
0,16,1,1
1,108,1,1
0,17,1,1
1,18,0,1
0,111,0,1
1,29,1,1
1,20,1,1
1,30,1,1
1,109,1,1
1,3,1,1
1,22,1,1
1,31,1,1
0,101,0,1
0,32,1,1
1,25,1,1
0,102,0,1
1,26,1,1
0,27,1,1
0,4,0,1
0,5,0,1
0,28,0,1
0,107,1,1
0,7,0,1
0,8,1,1
1,1,1,19
0,2,0,19
0,17,0,19
1,18,1,19
0,129,1,19
1,44,1,19
1,29,1,19
1,22,0,19
1,81,1,19
0,25,1,19
0,102,0,19
1,26,1,19
0,104,0,19
0,27,0,19
0,3,1,19
1,9,1,19
0,103,0,19
0,70,1,19
0,122,0,19
0,10,1,19
1,116,1,19
1,1,1,20
0,2,1,20
0,17,0,20
1,18,1,20
0,129,0,20
0,44,1,20
1,29,1,20
1,22,1,20
1,81,1,20
0,25,1,20
0,102,0,20
0,26,1,20
0,104,0,20
1,27,0,20
1,3,1,20
1,9,1,20
0,103,0,20
0,70,1,20
0,122,0,20
0,10,1,20
1,116,0,20
0,1,0,21
0,2,0,21
0,7,0,21
0,8,0,21
0,112,0,21
0,9,0,21
0,70,0,21
0,133,0,21
0,10,0,21
0,116,0,21
0,11,0,21
0,12,0,21
0,132,0,21
0,13,0,21
0,14,0,21
0,106,0,21
0,15,0,21
0,17,0,21
0,18,0,21
0,117,0,21
0,44,0,21
0,16,0,21
0,118,0,21
0,3,0,21
0,29,0,21
0,30,0,21
0,109,0,21
0,22,0,21
0,31,0,21
0,130,0,21
1,32,0,21
0,78,0,21
0,94,0,21
0,95,0,21
0,62,0,21
0,33,0,21
0,34,0,21
0,81,0,21
0,20,0,21
0,84,0,21
0,86,0,21
0,77,0,21
0,126,0,21
1,82,0,21
0,136,0,21
0,134,0,21
0,35,0,21
0,113,0,21
0,36,0,21
0,37,0,21
0,71,0,21
0,135,0,21
0,25,0,21
0,131,0,21
1,26,0,21
0,27,0,21
0,4,0,21
0,5,0,21
0,28,0,21
0,107,0,21
0,1,1,22
1,2,1,22
0,103,0,22
0,70,0,22
0,122,0,22
1,10,1,22
1,116,1,22
0,11,0,22
0,12,1,22
1,13,0,22
0,14,1,22
0,106,1,22
1,104,1,22
1,15,1,22
0,17,0,22
1,18,1,22
0,44,0,22
1,16,1,22
0,118,1,22
1,43,1,22
0,30,0,22
1,109,1,22
0,22,1,22
1,3,1,22
1,31,1,22
0,101,0,22
0,32,1,22
0,78,1,22
0,94,0,22
0,95,0,22
1,33,1,22
0,34,1,22
1,81,1,22
0,20,1,22
0,62,0,22
0,84,0,22
0,86,0,22
0,77,1,22
1,121,1,22
1,82,1,22
1,136,1,22
0,35,0,22
0,113,0,22
0,36,0,22
0,37,0,22
0,120,0,22
0,71,0,22
0,123,0,22
1,25,1,22
0,102,0,22
1,26,0,22
0,27,1,22
0,7,1,22
0,8,1,22
1,112,1,22
1,9,1,22
1,1,0,23
0,28,0,23
1,107,1,23
1,7,1,23
0,8,0,23
0,112,1,23
1,9,1,23
0,103,0,23
1,70,0,23
0,122,0,23
1,10,1,23
0,2,0,23
0,116,1,23
0,11,0,23
0,12,0,23
0,13,0,23
0,14,1,23
0,106,0,23
1,15,1,23
0,98,0,23
1,99,0,23
0,100,0,23
0,104,0,23
1,16,1,23
1,118,0,23
1,29,1,23
1,30,1,23
1,109,0,23
0,46,0,23
0,47,0,23
0,48,0,23
0,49,0,23
1,31,1,23
0,62,0,23
0,130,0,23
0,57,0,23
0,58,0,23
0,59,0,23
0,60,0,23
0,92,0,23
0,93,0,23
0,33,0,23
0,34,0,23
0,56,0,23
0,134,0,23
0,20,0,23
0,63,0,23
0,64,0,23
0,65,0,23
0,66,1,23
0,67,0,23
0,68,0,23
0,91,0,23
0,140,0,23
1,82,1,23
0,96,0,23
0,136,0,23
0,25,0,23
0,102,0,23
0,27,0,23
0,97,0,23
0,4,0,23
0,5,0,23
1,1,1,24
0,9,1,24
0,103,0,24
0,70,1,24
0,122,0,24
1,98,1,24
1,99,0,24
0,100,0,24
1,92,0,24
0,93,1,24
1,33,1,24
0,2,1,24
1,34,1,24
1,56,0,24
0,63,0,24
0,64,0,24
0,65,1,24
1,66,1,24
1,67,1,24
0,68,0,24
0,91,0,24
0,141,1,24
1,104,0,24
0,82,1,24
0,136,1,24
1,25,1,24
0,102,0,24
0,27,0,24
0,62,0,24
0,120,0,24
0,96,0,24
