PerformanceId,JokeId,Pitch,Intensity,HumanScore,HumanScorePostJokeOnly
0,3,0,71.36835476740207,-1,-1
0,4,233.20463580365225,76.23359642086136,1,1
0,6,248.37154112686315,81.60643136748646,1,1
0,7,232.0575901318505,81.53938101421622,1,-1
0,8,148.81163541510057,72.90457429878248,-1,-1
0,9,250.15751750809915,72.80929348526358,0,0
0,10,221.17971071848976,79.949359769092,0,0
0,11,247.41289644513154,83.24895174415263,1,1
0,12,217.616918961424,72.61396486873676,0,0
0,13,214.2593759223603,72.17015036432367,-1,-1
0,14,0,71.52639893001587,-1,-1
0,15,235.6042445661262,79.93529023189294,1,1
0,16,0,71.44383165326407,-1,-1
0,17,157.41839119532375,78.61854166286629,1,1
0,18,221.75972887108693,79.1428514574443,0,0
0,20,225.7887006460963,75.52608397407701,0,0
0,29,193.45287067459486,72.72988066838782,1,0
1,3,173.59941414648668,73.87416482488139,-1,-1
1,4,87.08728930894533,78.58010299806463,1,1
1,7,0,68.87930671571671,-1,-1
1,8,176.3568153673841,70.54078639014355,-1,-1
1,9,209.09441345993616,71.73775353316873,0,0
1,10,202.69971797646372,73.76984582304365,1,1
1,11,191.19585234241444,71.17773281948418,0,0
1,12,180.93276435458063,69.01003479466534,-1,-1
1,13,0,68.68291924457434,-1,-1
1,14,213.94451070454855,69.89918349481059,-1,-1
1,15,0,68.0309531405429,-1,-1
1,16,144.1785469710506,70.87649120932207,0,0
1,17,181.76642968958245,70.03723302831814,0,0
1,18,208.15453011352042,77.5001798696288,1,1
1,19,0,68.34413943970858,-1,-1
1,20,210.5671185370616,71.05049346668928,-1,-1
1,29,178.78129038930885,78.09872125257776,1,1
2,3,243.76934579723587,72.29758227469395,1,-1
2,6,246.9660249427898,72.55811346499988,1,1
2,7,243.24727421946855,70.8113390248042,1,1
2,8,276.8567386684042,68.76862048441753,-1,-1
2,9,0,68.17819236003645,0,-1
2,10,241.56223933400378,72.07081924303812,1,1
2,11,193.8807500875403,70.65926250038706,1,1
2,12,212.15547045988885,69.11358789056364,-1,-1
2,13,195.76785511745828,69.54003666271656,-1,-1
2,14,191.51742331983104,69.36644268108952,-1,-1
2,15,128.76445208575177,70.52830638486883,0,0
2,16,239.48095247935757,70.68054226157348,0,0
2,21,216.6962008562066,70.91579896566505,0,0
2,22,238.86833794748003,75.01554162822856,1,1
2,23,238.1407960943958,69.60877452085734,-1,-1
2,24,176.48470720892746,70.62127817526545,0,0
2,25,204.5237416112762,71.03876580159142,1,1
2,26,164.27947644386813,69.33703568740144,0,0
2,27,162.76005119517404,75.06659525761181,1,1
2,18,0,68.24541572295882,-1,-1
2,20,157.72699632673806,69.16173611347085,-1,-1
2,29,196.59460320234342,71.86058269795339,1,0
3,3,165.51358120853567,69.87276359550995,-1,-1
3,4,202.7683821790189,69.626916011608,1,1
3,5,215.23665257784586,68.94442311806381,-1,-1
3,6,213.6450121747968,70.51566781742191,1,1
3,7,226.5654529417553,68.57152552327067,0,0
3,8,216.44032615147248,68.80711891036941,-1,-1
3,9,156.13515294044902,68.12162967762458,-1,-1
3,10,217.7447029525184,68.43650517565203,-1,-1
3,11,183.52205229059217,69.75871279993365,0,0
3,18,197.32868060497296,68.32023106641408,0,0
3,20,0,67.89440448945459,-1,-1
3,21,207.8152336183001,68.23737631596441,0,-1
3,22,231.49895062434763,67.9032348448084,-1,-1
3,23,211.73654297788372,67.69097669815919,-1,-1
3,24,273.25973279167516,68.05476730154837,-1,-1
3,25,236.91105755427387,68.31403752889365,-1,-1
3,26,252.16230127234562,68.3556730140666,-1,-1
3,27,230.89092019840044,72.83800402710526,1,1
3,28,212.8149368814565,74.83567280938665,1,1
3,29,215.03164948390042,74.84786677587564,1,1
4,3,206.50156015804137,73.22002555618134,0,-1
4,4,217.27976648948268,79.10208673324725,1,1
4,5,174.4203649425723,70.98163213204757,0,0
4,10,229.99152396100374,70.77207561959474,0,0
4,21,175.9582642216456,69.64348650557135,0,-1
4,22,194.90376432394012,71.2634497301288,0,0
4,23,0,70.37771398161387,-1,-1
4,24,190.3089073758106,72.11764358842213,0,0
4,25,166.0214643441715,70.05056459176258,-1,-1
4,26,160.0370162747447,69.81151425281273,-1,-1
4,27,225.61800310887367,73.46418269209927,1,1
4,28,193.197537419,76.38053223183464,1,1
4,29,188.21755770688395,85.96536818450167,1,1
5,3,230.5903201067934,74.63527443097314,0,0
