/home/sharer/all_robot_comedy/robot_comedy/2018-08-25 Flappers Showcase/
pause_0.mp3
0.25 --undefined-- 71.764
0.50 --undefined-- 76.568
0.75 --undefined-- 68.245
1.00 --undefined-- 67.847
1.25 --undefined-- 68.200
1.50 --undefined-- 67.523
1.75 --undefined-- 66.776
2.00 --undefined-- 69.304
pause_1.mp3
0.25 --undefined-- 68.285
0.50 --undefined-- 67.985
0.75 --undefined-- 68.050
1.00 --undefined-- 68.645
1.25 --undefined-- 73.519
1.50 --undefined-- 79.967
1.75 --undefined-- 82.925
2.00 --undefined-- 84.859
2.25 --undefined-- 85.284
2.50 --undefined-- 70.690
2.75 --undefined-- 81.973
3.00 --undefined-- 71.637
3.25 --undefined-- 77.254
3.50 --undefined-- 71.645
3.75 --undefined-- 73.997
4.00 --undefined-- 68.271
4.25 --undefined-- 68.307
4.50 --undefined-- 68.309
4.75 --undefined-- 67.785
5.00 --undefined-- 68.428
5.25 --undefined-- 67.288
5.50 --undefined-- 67.420
5.75 --undefined-- 68.776
pause_10.mp3
0.25 --undefined-- 69.321
0.50 --undefined-- 68.612
0.75 --undefined-- 68.258
1.00 --undefined-- 68.222
1.25 --undefined-- 68.484
1.50 --undefined-- 67.468
1.75 --undefined-- 67.854
2.00 --undefined-- 67.777
pause_11.mp3
0.25 --undefined-- 73.958
0.50 192.081 82.218
0.75 165.617 89.421
1.00 176.903 90.039
1.25 --undefined-- 84.218
1.50 --undefined-- 75.927
1.75 --undefined-- 75.507
2.00 --undefined-- 70.030
2.25 --undefined-- 68.370
2.50 --undefined-- 68.790
2.75 --undefined-- 67.897
3.00 --undefined-- --undefined--
pause_12.mp3
0.25 --undefined-- 68.950
0.50 --undefined-- 69.793
0.75 --undefined-- 68.965
1.00 --undefined-- 67.764
1.25 --undefined-- 68.495
1.50 183.924 77.717
1.75 140.769 72.137
2.00 --undefined-- 72.154
2.25 --undefined-- 72.609
pause_13.mp3
0.25 --undefined-- 69.580
0.50 --undefined-- 72.029
0.75 --undefined-- 67.794
1.00 --undefined-- 67.777
1.25 --undefined-- 68.285
1.50 --undefined-- 67.918
1.75 --undefined-- 68.039
2.00 --undefined-- 67.709
2.25 --undefined-- --undefined--
pause_14.mp3
0.25 292.191 89.050
0.50 --undefined-- 84.411
0.75 --undefined-- 79.955
1.00 --undefined-- 69.069
1.25 --undefined-- 68.782
1.50 --undefined-- 68.666
1.75 --undefined-- 67.010
2.00 --undefined-- 67.927
2.25 --undefined-- 68.186
2.50 --undefined-- 67.750
pause_15.mp3
0.25 --undefined-- 68.207
0.50 198.491 74.186
0.75 --undefined-- 72.937
1.00 --undefined-- 74.071
1.25 244.602 76.313
1.50 --undefined-- 67.128
1.75 --undefined-- 67.582
2.00 --undefined-- 68.868
2.25 --undefined-- 68.225
2.50 --undefined-- 67.618
2.75 --undefined-- 67.995
3.00 --undefined-- 67.871
3.25 --undefined-- 72.443
pause_16.mp3
0.25 --undefined-- 74.129
0.50 --undefined-- 72.737
0.75 233.965 74.085
1.00 --undefined-- 68.963
1.25 258.809 73.682
1.50 --undefined-- 67.535
1.75 --undefined-- 67.462
2.00 268.021 73.802
2.25 --undefined-- 67.931
pause_17.mp3
0.25 239.296 76.254
0.50 --undefined-- 79.885
0.75 --undefined-- 80.628
1.00 180.863 79.081
1.25 --undefined-- 80.184
1.50 178.281 79.134
1.75 158.772 76.998
2.00 242.577 71.926
2.25 --undefined-- 68.250
2.50 --undefined-- 66.785
2.75 --undefined-- 68.237
3.00 --undefined-- 67.830
3.25 --undefined-- 67.161
3.50 --undefined-- --undefined--
pause_18.mp3
0.25 --undefined-- 68.390
0.50 --undefined-- 67.977
0.75 --undefined-- 67.618
1.00 --undefined-- 68.172
1.25 --undefined-- 67.837
1.50 --undefined-- 70.793
1.75 --undefined-- 67.724
2.00 --undefined-- 70.214
2.25 --undefined-- 70.392
2.50 --undefined-- 73.402
2.75 193.946 78.611
3.00 171.247 72.506
3.25 --undefined-- 67.425
3.50 --undefined-- 68.115
3.75 --undefined-- 67.915
4.00 --undefined-- 67.333
pause_19.mp3
0.25 --undefined-- 68.085
0.50 --undefined-- 67.935
0.75 --undefined-- 68.213
1.00 --undefined-- 68.133
1.25 --undefined-- 67.515
