/home/sharer/all_robot_comedy/robot_comedy/2018-10-13 Cobbler Show/
pause_0.mp3
0.25 --undefined-- 68.833
0.50 --undefined-- 67.699
0.75 --undefined-- 71.892
1.00 --undefined-- 69.152
1.25 --undefined-- 81.533
1.50 231.861 81.453
1.75 --undefined-- 80.740
2.00 237.367 77.958
2.25 --undefined-- 69.866
2.50 --undefined-- 68.532
2.75 --undefined-- 67.674
3.00 --undefined-- 68.234
3.25 --undefined-- 67.666
3.50 --undefined-- 67.599
pause_1.mp3
0.25 --undefined-- 76.055
0.50 226.770 92.719
0.75 --undefined-- 92.101
1.00 154.267 92.467
1.25 203.240 92.579
1.50 --undefined-- 90.123
1.75 --undefined-- 89.523
2.00 --undefined-- 87.382
2.25 --undefined-- 85.632
2.50 --undefined-- 82.398
2.75 --undefined-- 85.477
3.00 --undefined-- 79.971
3.25 --undefined-- 68.456
3.50 --undefined-- 68.228
3.75 --undefined-- 66.854
4.00 --undefined-- 67.297
4.25 --undefined-- 68.186
4.50 --undefined-- 68.061
pause_10.mp3
0.25 --undefined-- 67.674
0.50 --undefined-- 68.432
0.75 --undefined-- 67.951
1.00 --undefined-- 68.168
1.25 --undefined-- 68.278
1.50 --undefined-- 71.474
1.75 --undefined-- 74.844
2.00 145.526 87.171
2.25 --undefined-- 88.671
2.50 270.449 88.140
2.75 --undefined-- 80.438
3.00 --undefined-- 74.211
3.25 --undefined-- 68.755
3.50 --undefined-- 67.656
3.75 --undefined-- 68.081
4.00 --undefined-- 67.459
4.25 --undefined-- 68.888
pause_11.mp3
0.25 --undefined-- 82.517
0.50 --undefined-- 79.057
0.75 --undefined-- 81.167
1.00 237.635 79.659
1.25 213.771 86.803
1.50 --undefined-- 85.708
1.75 --undefined-- 79.602
2.00 --undefined-- 83.814
2.25 --undefined-- 72.805
2.50 --undefined-- 80.194
2.75 --undefined-- 77.518
3.00 --undefined-- 73.213
3.25 --undefined-- 68.070
3.50 --undefined-- 67.861
3.75 --undefined-- 67.423
4.00 --undefined-- 67.912
4.25 --undefined-- 67.473
pause_12.mp3
0.25 --undefined-- 87.885
0.50 131.690 92.784
0.75 200.886 92.854
1.00 172.330 92.803
1.25 234.046 92.652
1.50 96.486 89.511
1.75 --undefined-- 82.722
2.00 --undefined-- 70.883
2.25 --undefined-- 74.948
2.50 --undefined-- 74.049
2.75 --undefined-- 68.088
3.00 --undefined-- 68.217
3.25 --undefined-- 68.801
3.50 --undefined-- 67.159
3.75 --undefined-- 67.456
pause_13.mp3
0.25 --undefined-- 74.250
0.50 --undefined-- 71.681
0.75 --undefined-- 68.617
1.00 --undefined-- 67.526
1.25 --undefined-- 69.398
1.50 --undefined-- 68.099
1.75 --undefined-- 72.457
2.00 --undefined-- 69.908
pause_14.mp3
0.25 --undefined-- 68.439
0.50 --undefined-- 67.387
0.75 --undefined-- 66.983
1.00 --undefined-- 70.655
1.25 --undefined-- --undefined--
pause_15.mp3
0.25 83.576 88.624
0.50 --undefined-- 84.526
0.75 --undefined-- 76.592
1.00 --undefined-- 71.194
1.25 --undefined-- 67.909
1.50 --undefined-- 68.089
1.75 --undefined-- 67.804
2.00 --undefined-- 67.632
2.25 --undefined-- 68.051
pause_16.mp3
0.25 182.164 72.909
0.50 294.666 85.205
0.75 275.526 87.432
1.00 --undefined-- 82.462
1.25 --undefined-- 72.975
pause_17.mp3
0.25 --undefined-- 72.362
0.50 --undefined-- 70.765
0.75 --undefined-- 68.742
1.00 --undefined-- 70.733
1.25 --undefined-- 67.503
1.50 --undefined-- 68.412
1.75 --undefined-- 70.117
pause_18.mp3
0.25 78.116 81.126
0.50 --undefined-- 87.322
0.75 --undefined-- 82.796
1.00 --undefined-- 75.200
1.25 --undefined-- 70.052
1.50 --undefined-- 69.872
1.75 --undefined-- 69.225
2.00 --undefined-- 67.322
2.25 --undefined-- 67.780
2.50 --undefined-- --undefined--
pause_19.mp3
0.25 --undefined-- 79.892
0.50 --undefined-- 71.103
0.75 --undefined-- 85.166
1.00 --undefined-- 73.117
1.25 --undefined-- 77.570
1.50 --undefined-- 79.411
1.75 --undefined-- 83.888
2.00 --undefined-- 77.972
2.25 --undefined-- 75.289
2.50 --undefined-- 69.756
2.75 --undefined-- 68.521
3.00 --undefined-- 68.419
3.25 --undefined-- 68.761
3.50 294.930 72.378
3.75 276.612 71.638
pause_2.mp3
0.25 --undefined-- 78.818
0.50 --undefined-- 85.867
0.75 --undefined-- 85.043
1.00 --undefined-- 77.711
1.25 --undefined-- 72.514
1.50 --undefined-- 68.372
1.75 --undefined-- 66.984
2.00 --undefined-- 67.246
pause_20.mp3
0.25 265.788 81.965
0.50 --undefined-- 90.150
0.75 --undefined-- 91.267
1.00 --undefined-- 90.583
1.25 --undefined-- 90.858
1.50 --undefined-- 89.597
1.75 --undefined-- 83.759
2.00 --undefined-- 85.658
pause_21.mp3
0.25 --undefined-- 75.238
0.50 --undefined-- 84.436
0.75 287.424 92.706
1.00 --undefined-- 90.171
1.25 --undefined-- 86.585
pause_22.mp3
0.25 --undefined-- 67.744
0.50 --undefined-- 69.035
0.75 96.706 81.769
1.00 241.439 86.684
1.25 235.992 83.279
1.50 --undefined-- 83.794
1.75 --undefined-- 84.104
2.00 --undefined-- 88.354
2.25 --undefined-- 85.908
2.50 --undefined-- 82.883
pause_23.mp3
0.25 --undefined-- 67.623
0.50 --undefined-- 67.799
0.75 --undefined-- 68.476
1.00 --undefined-- 68.358
1.25 --undefined-- 67.314
1.50 --undefined-- 67.876
1.75 294.862 89.232
2.00 --undefined-- 91.522
pause_24.mp3
0.25 --undefined-- 89.016
0.50 --undefined-- 91.912
0.75 --undefined-- 92.520
1.00 284.070 89.600
1.25 --undefined-- 77.307
1.50 --undefined-- 71.722
1.75 --undefined-- 69.148
2.00 --undefined-- 68.578
2.25 --undefined-- 68.690
2.50 --undefined-- 67.963
2.75 --undefined-- 67.108
pause_25.mp3
0.25 231.144 89.324
0.50 --undefined-- 81.011
0.75 --undefined-- 72.415
1.00 --undefined-- 69.341
1.25 --undefined-- 69.011
1.50 --undefined-- 67.565
1.75 159.310 72.400
2.00 --undefined-- 72.251
2.25 --undefined-- 70.509
2.50 --undefined-- 78.768
2.75 --undefined-- 69.992
3.00 --undefined-- 71.894
3.25 --undefined-- 79.011
3.50 246.030 81.889
3.75 279.813 79.142
4.00 --undefined-- 69.300
4.25 --undefined-- 68.680
4.50 --undefined-- 68.101
pause_26.mp3
0.25 --undefined-- 69.001
0.50 --undefined-- 77.042
0.75 --undefined-- 74.775
1.00 --undefined-- 77.448
1.25 --undefined-- 82.757
1.50 --undefined-- 80.896
1.75 --undefined-- 80.767
2.00 --undefined-- 76.165
2.25 261.482 71.885
2.50 --undefined-- 68.334
2.75 --undefined-- 67.637
3.00 --undefined-- 67.911
3.25 --undefined-- 68.969
3.50 --undefined-- 71.809
pause_27.mp3
0.25 115.942 88.557
0.50 --undefined-- 84.622
0.75 --undefined-- 76.732
1.00 --undefined-- 70.596
1.25 --undefined-- 68.435
1.50 --undefined-- 68.604
1.75 --undefined-- 71.064
2.00 --undefined-- 67.664
2.25 --undefined-- 69.031
2.50 --undefined-- 67.852
2.75 --undefined-- 67.128
3.00 --undefined-- 67.303
pause_28.mp3
0.25 --undefined-- 68.014
0.50 --undefined-- 68.302
0.75 --undefined-- 69.371
1.00 257.071 77.544
1.25 --undefined-- 76.427
1.50 --undefined-- 82.730
1.75 --undefined-- 76.852
2.00 --undefined-- 77.931
2.25 --undefined-- 75.010
2.50 174.100 78.239
2.75 202.666 83.744
3.00 --undefined-- 82.127
3.25 --undefined-- 70.556
pause_29.mp3
0.25 --undefined-- 76.035
0.50 246.780 90.968
0.75 --undefined-- 92.111
1.00 --undefined-- 91.850
1.25 108.050 90.687
1.50 87.177 90.188
1.75 238.108 88.194
2.00 --undefined-- 69.135
pause_3.mp3
0.25 --undefined-- 67.228
0.50 --undefined-- 69.547
0.75 --undefined-- 67.866
1.00 242.837 76.147
1.25 --undefined-- 74.658
1.50 --undefined-- 74.701
1.75 --undefined-- 76.499
2.00 282.407 81.185
2.25 --undefined-- 75.681
2.50 --undefined-- 71.903
2.75 --undefined-- 68.404
3.00 --undefined-- 71.220
3.25 --undefined-- 70.504
3.50 --undefined-- 67.674
3.75 --undefined-- 67.113
4.00 --undefined-- 67.921
4.25 --undefined-- 71.479
4.50 --undefined-- 67.945
pause_30.mp3
0.25 --undefined-- 68.128
0.50 --undefined-- 67.956
0.75 --undefined-- 67.972
1.00 --undefined-- 68.409
1.25 --undefined-- 68.301
1.50 --undefined-- 66.897
1.75 --undefined-- 71.318
2.00 --undefined-- 72.839
2.25 --undefined-- 80.689
2.50 --undefined-- 80.364
2.75 --undefined-- 76.630
3.00 --undefined-- 75.910
3.25 --undefined-- 75.452
3.50 132.460 76.995
3.75 --undefined-- 72.794
4.00 --undefined-- 66.654
4.25 --undefined-- 67.517
4.50 --undefined-- 66.968
4.75 --undefined-- 67.449
5.00 --undefined-- 68.477
pause_31.mp3
0.25 --undefined-- 71.408
0.50 84.128 90.729
0.75 165.208 92.163
1.00 203.841 90.393
1.25 --undefined-- 85.494
1.50 --undefined-- 81.315
1.75 --undefined-- 75.860
2.00 --undefined-- 73.085
2.25 --undefined-- 68.943
2.50 --undefined-- 68.551
2.75 --undefined-- 69.824
3.00 --undefined-- 71.195
3.25 --undefined-- 69.555
3.50 --undefined-- 70.168
3.75 --undefined-- 71.009
4.00 --undefined-- 67.622
4.25 --undefined-- 68.135
4.50 --undefined-- 69.066
4.75 --undefined-- 68.119
5.00 --undefined-- 67.535
5.25 --undefined-- --undefined--
pause_32.mp3
0.25 --undefined-- 71.696
0.50 197.806 73.033
0.75 --undefined-- 77.492
1.00 --undefined-- 69.458
1.25 --undefined-- 70.056
1.50 220.236 80.887
1.75 --undefined-- 75.212
2.00 --undefined-- 69.289
2.25 --undefined-- 81.700
2.50 263.170 88.054
2.75 --undefined-- 84.881
pause_33.mp3
0.25 --undefined-- 70.372
0.50 --undefined-- 75.830
0.75 --undefined-- 74.152
1.00 191.010 83.960
1.25 --undefined-- 73.903
1.50 --undefined-- 73.664
1.75 --undefined-- 69.350
2.00 --undefined-- 72.450
2.25 --undefined-- 67.677
pause_34.mp3
0.25 172.874 90.590
0.50 --undefined-- 74.081
