/home/sharer/all_robot_comedy/robot_comedy/2018-11-13 Avocaduo Toast/
pause_0.mp3
0.25 --undefined-- 87.329
0.50 --undefined-- 73.455
0.75 --undefined-- 74.103
1.00 --undefined-- 72.015
1.25 --undefined-- 68.721
1.50 --undefined-- 73.513
1.75 --undefined-- 74.868
2.00 --undefined-- 69.556
2.25 --undefined-- 69.408
2.50 --undefined-- 68.251
2.75 --undefined-- 69.334
3.00 --undefined-- 69.280
pause_1.mp3
0.25 --undefined-- 69.773
0.50 --undefined-- 69.416
0.75 --undefined-- 69.802
1.00 --undefined-- 70.527
1.25 --undefined-- 78.429
1.50 --undefined-- 86.251
1.75 --undefined-- 87.678
2.00 --undefined-- 86.440
2.25 --undefined-- 83.933
2.50 --undefined-- 70.899
2.75 --undefined-- 72.319
3.00 --undefined-- 76.072
3.25 --undefined-- 73.770
3.50 --undefined-- 69.097
3.75 --undefined-- 68.732
4.00 --undefined-- 69.187
4.25 --undefined-- 68.919
4.50 --undefined-- 68.666
4.75 --undefined-- --undefined--
pause_10.mp3
0.25 --undefined-- 68.712
0.50 --undefined-- 69.736
0.75 --undefined-- 68.287
pause_11.mp3
0.25 143.989 86.818
0.50 --undefined-- 72.978
0.75 --undefined-- 70.082
1.00 --undefined-- 68.797
1.25 --undefined-- 67.920
1.50 --undefined-- 69.127
1.75 --undefined-- 69.281
pause_12.mp3
0.25 --undefined-- 69.573
0.50 --undefined-- 69.855
0.75 222.808 84.459
1.00 --undefined-- 82.510
1.25 145.352 84.629
1.50 --undefined-- 78.515
1.75 --undefined-- 70.367
2.00 --undefined-- 68.743
2.25 --undefined-- 68.597
2.50 --undefined-- 68.588
2.75 --undefined-- 68.837
3.00 --undefined-- 69.266
pause_13.mp3
0.25 --undefined-- 68.297
0.50 --undefined-- 70.303
0.75 --undefined-- 72.483
1.00 --undefined-- 69.566
1.25 --undefined-- 72.582
1.50 --undefined-- 67.958
1.75 --undefined-- 68.314
2.00 --undefined-- 70.250
pause_14.mp3
0.25 --undefined-- 81.093
0.50 286.572 81.596
0.75 --undefined-- 71.123
1.00 --undefined-- 69.434
1.25 --undefined-- 68.688
1.50 --undefined-- 69.837
1.75 --undefined-- 68.809
2.00 --undefined-- 68.874
2.25 --undefined-- 69.309
pause_15.mp3
0.25 --undefined-- 69.644
0.50 --undefined-- 69.265
0.75 --undefined-- 72.280
1.00 --undefined-- 73.587
1.25 --undefined-- 70.768
1.50 248.012 84.509
1.75 225.999 83.570
2.00 --undefined-- 71.677
2.25 --undefined-- 74.086
2.50 --undefined-- 81.416
2.75 --undefined-- 74.137
3.00 --undefined-- 73.280
3.25 --undefined-- 69.770
3.50 --undefined-- 69.143
3.75 --undefined-- 68.860
4.00 --undefined-- 69.325
pause_16.mp3
0.25 --undefined-- 69.750
0.50 --undefined-- 78.896
0.75 --undefined-- 84.368
1.00 --undefined-- 76.163
1.25 205.486 78.161
1.50 --undefined-- 77.401
1.75 --undefined-- 68.817
2.00 --undefined-- 68.655
2.25 --undefined-- 69.026
2.50 --undefined-- 76.340
2.75 --undefined-- 78.889
pause_17.mp3
0.25 --undefined-- 72.536
0.50 --undefined-- 72.123
0.75 261.588 76.967
1.00 --undefined-- 80.008
1.25 266.944 82.171
1.50 113.823 82.433
1.75 126.477 83.933
2.00 --undefined-- 74.687
2.25 --undefined-- 77.131
2.50 --undefined-- 71.824
2.75 --undefined-- 68.138
3.00 --undefined-- 69.364
3.25 --undefined-- 68.760
3.50 --undefined-- 69.421
3.75 --undefined-- 68.360
pause_18.mp3
0.25 --undefined-- 72.459
0.50 --undefined-- 73.687
0.75 --undefined-- 72.897
1.00 --undefined-- 84.983
1.25 270.937 85.174
1.50 210.217 76.175
1.75 --undefined-- 72.956
2.00 --undefined-- 78.683
2.25 --undefined-- 79.364
2.50 --undefined-- 76.304
2.75 --undefined-- 74.368
3.00 --undefined-- 76.129
3.25 --undefined-- 78.166
3.50 --undefined-- 70.012
3.75 --undefined-- 68.550
4.00 --undefined-- 68.738
4.25 --undefined-- 68.720
4.50 --undefined-- 69.517
4.75 --undefined-- --undefined--
pause_19.mp3
0.25 242.167 83.012
0.50 --undefined-- 79.187
0.75 --undefined-- 82.079
1.00 --undefined-- 71.542
1.25 --undefined-- 86.213
1.50 --undefined-- 85.437
1.75 --undefined-- 75.916
2.00 --undefined-- 69.159
2.25 --undefined-- 69.262
2.50 --undefined-- 69.213
2.75 --undefined-- 68.773
3.00 --undefined-- 69.714
pause_2.mp3
0.25 --undefined-- 69.116
0.50 --undefined-- 69.069
0.75 --undefined-- 68.944
1.00 --undefined-- 69.032
1.25 --undefined-- 70.776
1.50 --undefined-- 68.210
1.75 --undefined-- 68.914
2.00 --undefined-- 69.607
2.25 --undefined-- 69.128
2.50 --undefined-- 79.862
pause_20.mp3
0.25 --undefined-- 70.537
0.50 --undefined-- 72.433
0.75 266.173 81.405
1.00 --undefined-- 79.171
1.25 --undefined-- 69.400
1.50 --undefined-- 69.800
1.75 --undefined-- 69.208
2.00 --undefined-- 68.928
2.25 --undefined-- 69.089
2.50 --undefined-- 68.885
2.75 --undefined-- 69.908
3.00 --undefined-- 68.763
pause_21.mp3
0.25 150.422 79.539
0.50 275.795 89.585
0.75 246.015 84.086
1.00 --undefined-- 68.920
1.25 --undefined-- 68.657
1.50 --undefined-- 68.958
1.75 --undefined-- 69.052
2.00 --undefined-- 68.472
2.25 --undefined-- 68.141
2.50 --undefined-- 69.553
2.75 --undefined-- 69.972
3.00 --undefined-- 68.903
pause_22.mp3
0.25 --undefined-- 68.916
0.50 --undefined-- 69.114
0.75 --undefined-- 69.665
1.00 --undefined-- 71.484
1.25 --undefined-- 70.465
1.50 --undefined-- 77.192
1.75 --undefined-- 71.703
2.00 --undefined-- 84.199
2.25 --undefined-- 78.309
2.50 --undefined-- 74.907
2.75 --undefined-- 67.851
3.00 --undefined-- 69.264
3.25 --undefined-- 68.558
3.50 --undefined-- 70.349
3.75 --undefined-- 68.787
pause_23.mp3
0.25 --undefined-- 70.946
0.50 --undefined-- 68.962
0.75 --undefined-- 68.351
1.00 --undefined-- 68.637
1.25 --undefined-- 68.368
1.50 --undefined-- 69.252
1.75 --undefined-- 68.687
2.00 --undefined-- 68.964
2.25 --undefined-- 69.032
pause_24.mp3
0.25 --undefined-- 68.731
0.50 --undefined-- 73.818
0.75 --undefined-- 87.683
1.00 --undefined-- 85.300
1.25 151.380 80.149
1.50 --undefined-- 68.999
1.75 --undefined-- 69.483
2.00 --undefined-- 70.236
2.25 --undefined-- 69.191
2.50 --undefined-- 69.081
pause_25.mp3
0.25 --undefined-- 67.948
0.50 --undefined-- 68.916
0.75 --undefined-- 68.910
1.00 --undefined-- 70.539
1.25 277.998 76.620
1.50 202.004 87.689
1.75 --undefined-- 88.815
2.00 --undefined-- 82.547
2.25 --undefined-- 81.427
2.50 96.758 85.103
2.75 --undefined-- 80.791
3.00 --undefined-- 77.185
3.25 --undefined-- 68.813
3.50 --undefined-- 69.075
3.75 --undefined-- 69.153
4.00 --undefined-- 70.112
4.25 --undefined-- 69.035
4.50 --undefined-- 69.212
pause_26.mp3
0.25 --undefined-- 69.476
0.50 --undefined-- 71.517
0.75 --undefined-- 69.135
1.00 --undefined-- 69.376
1.25 --undefined-- 69.776
1.50 158.739 89.467
1.75 220.347 90.144
2.00 180.060 90.837
2.25 --undefined-- 90.799
pause_3.mp3
0.25 --undefined-- 68.515
0.50 --undefined-- 79.995
0.75 --undefined-- 90.857
1.00 --undefined-- 87.533
1.25 --undefined-- 89.545
1.50 --undefined-- 86.602
pause_4.mp3
0.25 --undefined-- 69.384
0.50 --undefined-- 84.194
0.75 129.476 83.298
1.00 --undefined-- 75.078
1.25 --undefined-- 73.818
1.50 --undefined-- 69.143
1.75 --undefined-- 69.099
2.00 --undefined-- 69.773
2.25 --undefined-- 69.168
2.50 --undefined-- 69.177
2.75 --undefined-- 68.183
pause_5.mp3
0.25 --undefined-- 72.572
0.50 --undefined-- 70.810
0.75 --undefined-- 70.183
1.00 --undefined-- 68.188
1.25 --undefined-- 69.118
1.50 --undefined-- 69.311
1.75 --undefined-- 69.950
2.00 --undefined-- 69.261
2.25 --undefined-- --undefined--
pause_6.mp3
0.25 --undefined-- 91.236
0.50 285.900 89.460
0.75 --undefined-- 83.339
1.00 237.913 89.277
1.25 234.634 77.901
1.50 --undefined-- 69.035
1.75 --undefined-- 69.238
2.00 --undefined-- 68.252
2.25 --undefined-- 69.480
2.50 --undefined-- 68.864
pause_7.mp3
0.25 --undefined-- 69.172
0.50 --undefined-- 70.848
0.75 --undefined-- 69.483
1.00 --undefined-- 69.404
1.25 --undefined-- 68.815
1.50 --undefined-- 74.833
1.75 --undefined-- 71.487
2.00 --undefined-- 83.046
2.25 244.507 85.374
2.50 --undefined-- 77.154
2.75 --undefined-- 69.654
3.00 --undefined-- 71.911
3.25 --undefined-- 68.935
3.50 --undefined-- 69.796
3.75 --undefined-- 69.585
4.00 --undefined-- 68.902
4.25 --undefined-- 71.199
4.50 --undefined-- 70.433
4.75 --undefined-- 69.712
5.00 --undefined-- 70.187
5.25 --undefined-- 69.632
5.50 --undefined-- 67.786
5.75 --undefined-- 70.245
6.00 --undefined-- 68.996
6.25 --undefined-- 68.965
pause_8.mp3
0.25 208.363 86.877
0.50 --undefined-- 84.347
0.75 101.155 82.815
1.00 278.452 78.243
1.25 --undefined-- 77.133
1.50 --undefined-- 70.899
1.75 --undefined-- 68.965
2.00 --undefined-- 68.665
2.25 --undefined-- --undefined--
pause_9.mp3
0.25 --undefined-- 69.281
0.50 --undefined-- 68.684
0.75 --undefined-- 69.185
1.00 --undefined-- 67.706
1.25 --undefined-- 68.629
1.50 --undefined-- 69.367
