/home/sharer/all_robot_comedy/robot_comedy/2018-07-11 Quantum Mic/
pause_0.mp3
0.25 --undefined-- 72.545
0.50 --undefined-- 75.996
0.75 126.186 74.372
1.00 231.301 75.407
1.25 224.352 74.129
1.50 --undefined-- 74.404
1.75 --undefined-- 80.584
2.00 --undefined-- 77.161
2.25 --undefined-- 71.655
2.50 --undefined-- 72.325
pause_1.mp3
0.25 --undefined-- 69.846
0.50 --undefined-- 71.003
0.75 --undefined-- 71.930
1.00 --undefined-- 70.879
1.25 --undefined-- 72.688
1.50 --undefined-- 72.301
1.75 --undefined-- 76.676
2.00 --undefined-- 75.492
2.25 --undefined-- 79.641
2.50 --undefined-- 82.355
2.75 --undefined-- 82.895
3.00 --undefined-- 83.716
3.25 --undefined-- 77.837
3.50 --undefined-- 83.470
3.75 --undefined-- 78.927
4.00 --undefined-- 78.768
pause_10.mp3
0.25 --undefined-- 68.518
0.50 --undefined-- 69.367
0.75 --undefined-- 69.007
1.00 --undefined-- --undefined--
pause_11.mp3
0.25 --undefined-- 75.069
0.50 --undefined-- 72.758
0.75 --undefined-- 69.067
1.00 --undefined-- 68.551
pause_12.mp3
0.25 190.164 79.161
0.50 --undefined-- 70.145
0.75 --undefined-- 69.510
1.00 --undefined-- 69.298
1.25 --undefined-- 69.413
1.50 --undefined-- 69.917
1.75 --undefined-- 68.565
2.00 --undefined-- 70.459
2.25 --undefined-- 68.376
2.50 --undefined-- 68.422
2.75 --undefined-- 67.989
3.00 --undefined-- 67.706
3.25 --undefined-- 68.222
3.50 --undefined-- 70.086
pause_13.mp3
0.25 --undefined-- 68.277
0.50 --undefined-- 80.055
0.75 --undefined-- 85.407
1.00 --undefined-- 86.062
1.25 --undefined-- 82.626
1.50 --undefined-- 85.742
1.75 --undefined-- 81.792
2.00 --undefined-- 81.600
2.25 --undefined-- 76.793
2.50 274.189 80.703
2.75 --undefined-- 70.600
3.00 --undefined-- 70.173
3.25 --undefined-- 69.930
pause_14.mp3
0.25 --undefined-- 68.867
0.50 --undefined-- 68.417
0.75 --undefined-- 69.175
pause_15.mp3
0.25 --undefined-- 68.764
0.50 --undefined-- 68.633
0.75 --undefined-- 69.398
1.00 --undefined-- 70.542
1.25 207.900 77.387
1.50 206.046 74.789
1.75 202.202 72.411
2.00 --undefined-- 69.273
2.25 --undefined-- 68.110
2.50 --undefined-- 69.730
2.75 --undefined-- 69.146
3.00 --undefined-- --undefined--
pause_16.mp3
0.25 --undefined-- 67.829
0.50 170.325 76.961
0.75 150.051 78.165
1.00 --undefined-- 77.618
1.25 --undefined-- 77.962
1.50 --undefined-- 77.182
1.75 --undefined-- 78.701
2.00 --undefined-- 80.520
2.25 --undefined-- 74.156
2.50 --undefined-- 89.119
2.75 --undefined-- 85.229
3.00 --undefined-- 78.198
pause_2.mp3
0.25 --undefined-- 68.595
0.50 --undefined-- 68.567
0.75 --undefined-- 68.837
pause_3.mp3
0.25 --undefined-- 67.565
0.50 --undefined-- 70.879
0.75 --undefined-- 68.283
1.00 --undefined-- 68.930
1.25 --undefined-- 69.130
1.50 --undefined-- 69.184
1.75 --undefined-- 68.257
2.00 --undefined-- 70.224
2.25 181.249 78.231
2.50 --undefined-- 72.193
2.75 --undefined-- 69.298
3.00 --undefined-- 70.961
3.25 --undefined-- 69.536
3.50 --undefined-- 68.460
pause_4.mp3
0.25 --undefined-- 68.126
0.50 --undefined-- 74.029
0.75 --undefined-- 70.445
