/home/sharer/all_robot_comedy/robot_comedy/2018-12-8 Columbo Show/
pause_0.mp3
0.25 --undefined-- 69.618
0.50 --undefined-- 70.080
0.75 --undefined-- 68.274
1.00 --undefined-- 68.480
1.25 --undefined-- 68.380
1.50 --undefined-- 68.871
1.75 --undefined-- 68.996
2.00 --undefined-- 68.341
pause_1.mp3
0.25 --undefined-- 68.662
0.50 --undefined-- 74.181
0.75 --undefined-- 81.891
1.00 --undefined-- 90.162
1.25 --undefined-- 80.968
1.50 --undefined-- 81.125
1.75 --undefined-- 83.557
2.00 --undefined-- 85.967
2.25 --undefined-- 89.535
2.50 --undefined-- 85.286
2.75 --undefined-- 87.297
3.00 --undefined-- 86.840
3.25 --undefined-- 88.525
3.50 --undefined-- 82.627
3.75 --undefined-- 75.883
4.00 --undefined-- 74.889
4.25 --undefined-- 74.490
4.50 --undefined-- 68.686
4.75 --undefined-- 68.949
5.00 --undefined-- 68.707
5.25 --undefined-- 69.191
5.50 --undefined-- 67.214
pause_10.mp3
0.25 --undefined-- 67.904
0.50 --undefined-- 68.893
0.75 --undefined-- 68.692
1.00 --undefined-- 68.747
pause_11.mp3
0.25 --undefined-- 74.533
0.50 --undefined-- 71.631
0.75 --undefined-- 71.491
1.00 --undefined-- 70.142
1.25 --undefined-- 75.117
1.50 --undefined-- 69.332
1.75 --undefined-- 68.681
2.00 --undefined-- 68.210
2.25 --undefined-- 68.500
2.50 --undefined-- 69.046
pause_12.mp3
0.25 --undefined-- 68.857
0.50 --undefined-- 69.896
0.75 --undefined-- 78.654
1.00 --undefined-- 79.730
1.25 --undefined-- 71.399
1.50 --undefined-- 69.024
1.75 --undefined-- 68.269
2.00 --undefined-- 68.089
2.25 --undefined-- 68.534
2.50 --undefined-- 68.720
pause_13.mp3
0.25 --undefined-- 68.082
0.50 --undefined-- 68.414
0.75 --undefined-- 68.150
1.00 --undefined-- 77.479
1.25 224.559 82.141
1.50 --undefined-- 84.978
1.75 90.508 85.645
2.00 --undefined-- 84.035
2.25 --undefined-- 71.823
2.50 240.187 78.380
2.75 --undefined-- 80.591
3.00 --undefined-- 74.291
3.25 --undefined-- 68.393
3.50 --undefined-- 68.460
3.75 --undefined-- 68.612
4.00 --undefined-- 68.749
4.25 --undefined-- 68.640
pause_14.mp3
0.25 --undefined-- 87.743
0.50 --undefined-- 88.596
0.75 --undefined-- 85.780
