/home/sharer/all_robot_comedy/robot_comedy/2018-07-21 Pasadena Media/
pause_0.mp3
0.25 --undefined-- 68.055
0.50 --undefined-- 70.309
0.75 --undefined-- 73.850
1.00 --undefined-- 76.267
1.25 --undefined-- 74.478
1.50 --undefined-- 75.574
pause_1.mp3
0.25 --undefined-- 67.624
0.50 --undefined-- 66.830
0.75 148.607 78.790
1.00 --undefined-- 78.953
1.25 --undefined-- 79.829
1.50 --undefined-- 77.163
1.75 --undefined-- 80.518
2.00 269.526 77.062
2.25 --undefined-- 68.888
2.50 --undefined-- 68.058
2.75 --undefined-- 68.002
3.00 --undefined-- 67.419
3.25 --undefined-- 67.668
3.50 --undefined-- 68.087
pause_10.mp3
0.25 --undefined-- 70.562
0.50 --undefined-- 73.718
0.75 --undefined-- 76.756
1.00 --undefined-- 73.970
1.25 --undefined-- 72.431
1.50 --undefined-- 67.642
1.75 --undefined-- 67.907
2.00 --undefined-- 68.298
pause_11.mp3
0.25 --undefined-- 67.797
0.50 --undefined-- 67.504
0.75 --undefined-- 67.455
1.00 --undefined-- 69.622
1.25 291.890 75.626
1.50 207.718 75.216
1.75 --undefined-- 75.706
2.00 --undefined-- 71.631
2.25 --undefined-- 74.341
2.50 --undefined-- 68.961
2.75 --undefined-- 67.401
pause_12.mp3
0.25 --undefined-- 67.608
0.50 --undefined-- 73.786
0.75 --undefined-- 73.814
1.00 --undefined-- 76.706
1.25 222.091 76.737
1.50 --undefined-- 68.820
1.75 --undefined-- 67.093
2.00 --undefined-- 67.219
2.25 --undefined-- 67.125
pause_13.mp3
0.25 --undefined-- 83.820
0.50 --undefined-- 80.398
0.75 --undefined-- 78.403
1.00 273.893 86.287
1.25 --undefined-- 78.981
1.50 --undefined-- 71.625
1.75 --undefined-- 70.599
2.00 --undefined-- 74.991
2.25 --undefined-- 67.774
2.50 --undefined-- 67.710
2.75 --undefined-- 68.451
3.00 --undefined-- 67.794
3.25 --undefined-- 69.260
pause_14.mp3
0.25 --undefined-- 68.466
0.50 --undefined-- 72.235
0.75 248.319 79.114
1.00 237.670 72.495
1.25 --undefined-- 69.892
1.50 --undefined-- 67.195
1.75 --undefined-- 67.367
2.00 --undefined-- 67.020
2.25 --undefined-- 67.760
pause_15.mp3
0.25 --undefined-- 68.067
0.50 --undefined-- 68.422
0.75 --undefined-- 74.813
1.00 --undefined-- 77.422
1.25 266.887 76.513
1.50 --undefined-- 70.949
1.75 --undefined-- 68.547
2.00 --undefined-- 66.525
2.25 --undefined-- 67.505
2.50 --undefined-- 67.223
2.75 --undefined-- 67.633
3.00 --undefined-- 68.785
3.25 --undefined-- 71.098
pause_16.mp3
0.25 --undefined-- 67.836
0.50 --undefined-- 68.769
0.75 --undefined-- 68.916
1.00 --undefined-- 68.055
1.25 --undefined-- 69.242
1.50 201.873 73.381
1.75 180.776 85.955
2.00 168.595 80.098
2.25 268.318 77.429
2.50 --undefined-- 70.185
2.75 --undefined-- 66.772
3.00 --undefined-- 68.226
3.25 --undefined-- 67.959
3.50 --undefined-- 67.062
3.75 --undefined-- 71.315
4.00 --undefined-- 70.554
pause_17.mp3
0.25 --undefined-- 67.689
0.50 --undefined-- 71.424
0.75 --undefined-- 75.393
1.00 --undefined-- 73.493
1.25 --undefined-- 76.674
1.50 --undefined-- 73.586
1.75 --undefined-- 67.044
2.00 --undefined-- 67.505
2.25 --undefined-- 70.012
2.50 --undefined-- 70.718
2.75 --undefined-- 69.823
3.00 --undefined-- 70.032
3.25 --undefined-- 67.826
3.50 --undefined-- 68.057
3.75 --undefined-- 67.847
4.00 --undefined-- 67.755
4.25 --undefined-- 67.617
4.50 --undefined-- 66.919
4.75 --undefined-- 67.734
5.00 --undefined-- 67.041
5.25 --undefined-- 67.530
5.50 --undefined-- 67.122
pause_18.mp3
0.25 --undefined-- 67.057
0.50 --undefined-- 68.460
0.75 --undefined-- 75.395
1.00 113.599 86.164
1.25 160.568 83.793
1.50 94.763 82.550
1.75 --undefined-- 74.741
2.00 --undefined-- 76.594
2.25 --undefined-- 74.769
2.50 --undefined-- 71.029
2.75 --undefined-- 69.592
3.00 --undefined-- 68.588
pause_19.mp3
0.25 --undefined-- 73.854
0.50 --undefined-- 68.374
0.75 --undefined-- 67.896
1.00 --undefined-- 68.049
1.25 --undefined-- 70.285
1.50 --undefined-- 67.718
1.75 --undefined-- 66.471
2.00 --undefined-- 67.398
2.25 --undefined-- 67.425
2.50 --undefined-- 68.233
2.75 --undefined-- 69.727
pause_2.mp3
0.25 --undefined-- 67.699
0.50 --undefined-- 67.129
0.75 --undefined-- 76.124
1.00 --undefined-- 80.004
1.25 --undefined-- 76.008
1.50 --undefined-- 73.017
1.75 --undefined-- 74.880
2.00 --undefined-- 67.831
2.25 --undefined-- 67.747
2.50 --undefined-- 68.082
2.75 --undefined-- 66.821
3.00 --undefined-- 67.702
3.25 --undefined-- 67.957
pause_20.mp3
0.25 --undefined-- 67.981
0.50 --undefined-- 68.250
0.75 --undefined-- 69.480
1.00 --undefined-- 70.983
1.25 --undefined-- 70.630
1.50 --undefined-- 71.941
1.75 --undefined-- 73.263
2.00 --undefined-- 70.770
2.25 --undefined-- 67.376
2.50 --undefined-- 67.496
2.75 --undefined-- 67.528
3.00 --undefined-- 67.132
3.25 --undefined-- --undefined--
pause_21.mp3
0.25 --undefined-- 68.685
0.50 --undefined-- 74.264
0.75 --undefined-- 77.389
1.00 211.535 77.490
1.25 --undefined-- 73.985
1.50 --undefined-- 69.617
1.75 --undefined-- 72.462
2.00 --undefined-- 70.840
2.25 --undefined-- 68.710
2.50 --undefined-- 68.013
2.75 --undefined-- 68.644
pause_3.mp3
0.25 --undefined-- 67.959
0.50 --undefined-- 67.810
0.75 --undefined-- 69.077
1.00 --undefined-- 67.511
1.25 --undefined-- 67.936
1.50 --undefined-- 70.154
1.75 296.593 75.592
2.00 --undefined-- 69.142
2.25 --undefined-- 73.198
2.50 --undefined-- 68.991
2.75 --undefined-- 67.426
3.00 --undefined-- 68.122
3.25 --undefined-- 67.391
3.50 --undefined-- 67.556
3.75 --undefined-- 67.173
4.00 --undefined-- 69.109
pause_4.mp3
0.25 --undefined-- 67.302
0.50 --undefined-- 68.195
0.75 --undefined-- 67.987
1.00 --undefined-- 81.519
1.25 --undefined-- 70.088
