/home/sharer/all_robot_comedy/robot_comedy/2018-07-26 Giggle Bash/
pause_0.mp3
0.25 --undefined-- 68.866
0.50 --undefined-- 68.336
0.75 --undefined-- 67.426
1.00 --undefined-- 67.288
1.25 --undefined-- 67.727
1.50 --undefined-- 72.384
1.75 --undefined-- 67.492
pause_1.mp3
0.25 --undefined-- 67.067
0.50 --undefined-- 68.875
0.75 --undefined-- 68.568
1.00 --undefined-- 85.426
1.25 --undefined-- 85.163
1.50 --undefined-- 82.531
1.75 --undefined-- 88.143
2.00 --undefined-- 86.809
2.25 --undefined-- 82.520
2.50 --undefined-- 85.653
2.75 --undefined-- 80.904
3.00 --undefined-- 78.613
3.25 --undefined-- 84.623
3.50 --undefined-- 76.815
3.75 --undefined-- 82.533
4.00 --undefined-- 67.891
4.25 --undefined-- 67.315
4.50 --undefined-- 67.511
4.75 --undefined-- --undefined--
pause_10.mp3
0.25 --undefined-- 68.274
0.50 --undefined-- 72.368
0.75 --undefined-- 73.787
1.00 --undefined-- 75.702
1.25 227.473 80.290
1.50 --undefined-- 68.009
1.75 --undefined-- 70.983
2.00 --undefined-- 68.648
2.25 --undefined-- 67.273
2.50 --undefined-- 67.070
2.75 --undefined-- 65.797
3.00 --undefined-- 67.281
3.25 --undefined-- 69.300
3.50 --undefined-- --undefined--
pause_11.mp3
0.25 --undefined-- 71.006
0.50 --undefined-- 84.308
0.75 --undefined-- 75.889
1.00 --undefined-- 78.316
1.25 --undefined-- 72.414
1.50 --undefined-- 71.719
1.75 --undefined-- 67.524
2.00 --undefined-- 67.010
2.25 --undefined-- 67.795
2.50 --undefined-- 67.671
2.75 --undefined-- 66.680
pause_12.mp3
0.25 --undefined-- 67.583
0.50 106.587 77.392
0.75 --undefined-- 76.206
1.00 123.794 75.054
1.25 --undefined-- 74.643
1.50 --undefined-- 70.498
1.75 201.924 71.842
2.00 --undefined-- 67.251
2.25 --undefined-- 67.483
2.50 --undefined-- 67.761
2.75 --undefined-- 66.805
3.00 --undefined-- 67.623
pause_13.mp3
0.25 --undefined-- 66.793
0.50 --undefined-- 66.690
0.75 --undefined-- 67.092
1.00 --undefined-- 67.252
1.25 --undefined-- 68.008
1.50 --undefined-- 68.210
1.75 --undefined-- 70.242
pause_14.mp3
0.25 --undefined-- 68.537
0.50 --undefined-- 76.544
0.75 --undefined-- 74.290
1.00 --undefined-- 71.421
1.25 --undefined-- 69.827
1.50 --undefined-- 67.095
1.75 --undefined-- 67.086
2.00 --undefined-- 66.858
2.25 --undefined-- 67.291
