/home/sharer/all_robot_comedy/robot_comedy/2018-07-26 Surprise Party/
pause_0.mp3
0.25 --undefined-- 84.090
0.50 --undefined-- 82.317
0.75 115.108 84.878
1.00 --undefined-- 76.367
1.25 188.359 81.979
1.50 209.809 85.379
1.75 298.711 81.600
2.00 --undefined-- 70.765
2.25 --undefined-- --undefined--
pause_1.mp3
0.25 --undefined-- 79.872
0.50 --undefined-- 79.548
0.75 --undefined-- 88.868
1.00 --undefined-- 90.768
1.25 --undefined-- 90.883
1.50 --undefined-- 90.399
1.75 --undefined-- 88.851
2.00 --undefined-- 89.594
2.25 --undefined-- 90.390
2.50 --undefined-- 89.290
2.75 --undefined-- 88.302
3.00 --undefined-- 83.907
3.25 --undefined-- 88.039
3.50 --undefined-- 89.224
3.75 --undefined-- 88.451
pause_10.mp3
0.25 --undefined-- 67.597
0.50 --undefined-- 67.781
0.75 --undefined-- 72.914
1.00 --undefined-- 78.532
1.25 --undefined-- 85.474
1.50 279.342 87.129
1.75 --undefined-- 85.626
2.00 --undefined-- 76.984
2.25 --undefined-- 70.476
2.50 --undefined-- 71.005
2.75 --undefined-- 71.881
3.00 208.915 77.189
3.25 213.596 81.924
3.50 215.500 75.229
3.75 --undefined-- 67.078
4.00 --undefined-- 70.623
4.25 --undefined-- 68.894
4.50 --undefined-- 67.364
4.75 --undefined-- 67.666
5.00 --undefined-- 67.745
pause_11.mp3
0.25 --undefined-- 69.062
0.50 --undefined-- 67.842
0.75 --undefined-- 67.332
1.00 --undefined-- 68.171
1.25 --undefined-- 68.054
1.50 --undefined-- 67.248
1.75 --undefined-- 68.094
2.00 --undefined-- 66.741
2.25 --undefined-- 67.780
pause_12.mp3
0.25 --undefined-- 67.127
0.50 --undefined-- 69.202
0.75 --undefined-- 71.392
1.00 --undefined-- 68.838
1.25 --undefined-- 68.194
1.50 --undefined-- 67.612
1.75 --undefined-- 68.022
2.00 --undefined-- 69.575
2.25 --undefined-- 70.196
2.50 --undefined-- 68.417
2.75 --undefined-- 68.337
3.00 --undefined-- 91.100
3.25 --undefined-- 92.016
3.50 --undefined-- 91.921
3.75 --undefined-- 91.331
4.00 --undefined-- 91.619
4.25 --undefined-- 86.836
4.50 --undefined-- 91.464
4.75 --undefined-- 90.182
5.00 --undefined-- 88.097
5.25 --undefined-- 88.932
5.50 --undefined-- 89.388
5.75 272.129 90.823
6.00 --undefined-- 91.284
6.25 --undefined-- 89.128
6.50 --undefined-- 82.981
6.75 --undefined-- 89.276
7.00 225.644 86.954
7.25 --undefined-- 81.926
pause_2.mp3
0.25 --undefined-- 78.117
0.50 --undefined-- 86.723
0.75 --undefined-- 87.466
1.00 --undefined-- 90.030
1.25 --undefined-- 89.169
1.50 --undefined-- 86.081
1.75 --undefined-- 75.148
2.00 --undefined-- 71.687
2.25 --undefined-- 70.745
2.50 --undefined-- 70.179
2.75 237.398 72.480
3.00 --undefined-- 68.235
3.25 --undefined-- 67.276
3.50 --undefined-- 68.616
3.75 --undefined-- 74.156
4.00 --undefined-- 67.776
4.25 --undefined-- 67.616
4.50 --undefined-- 67.689
4.75 --undefined-- 68.082
5.00 --undefined-- 68.023
5.25 --undefined-- 67.372
5.50 --undefined-- 71.685
5.75 --undefined-- --undefined--
pause_3.mp3
0.25 --undefined-- 80.746
0.50 --undefined-- 88.942
0.75 --undefined-- 89.878
1.00 --undefined-- 88.270
1.25 170.167 87.711
1.50 --undefined-- 88.621
1.75 232.111 84.966
2.00 --undefined-- 78.504
2.25 --undefined-- 79.612
2.50 --undefined-- --undefined--
pause_4.mp3
0.25 --undefined-- 70.516
0.50 --undefined-- 80.044
0.75 --undefined-- 82.698
1.00 --undefined-- 72.828
1.25 --undefined-- 87.225
1.50 --undefined-- 90.958
1.75 --undefined-- 84.103
2.00 --undefined-- 88.691
2.25 --undefined-- 87.692
2.50 --undefined-- 82.707
2.75 --undefined-- 79.478
3.00 213.218 83.419
3.25 --undefined-- 85.165
3.50 --undefined-- 85.994
3.75 110.955 84.178
4.00 --undefined-- 76.080
4.25 --undefined-- 68.345
4.50 --undefined-- 67.870
4.75 --undefined-- 68.754
5.00 --undefined-- 67.708
5.25 --undefined-- 67.455
pause_5.mp3
0.25 86.538 87.928
0.50 --undefined-- 87.353
0.75 --undefined-- 81.542
1.00 --undefined-- 77.673
1.25 --undefined-- 70.591
1.50 --undefined-- 67.999
1.75 --undefined-- 67.466
2.00 --undefined-- 67.470
2.25 --undefined-- 67.322
2.50 --undefined-- 67.228
pause_6.mp3
0.25 --undefined-- 68.139
0.50 --undefined-- 71.770
0.75 --undefined-- 68.043
1.00 --undefined-- 66.814
1.25 --undefined-- 67.205
1.50 --undefined-- 70.013
1.75 --undefined-- 88.353
2.00 --undefined-- 82.922
2.25 --undefined-- 82.281
2.50 223.836 88.015
2.75 83.850 80.799
3.00 --undefined-- 68.666
3.25 --undefined-- 67.830
3.50 --undefined-- 66.923
3.75 --undefined-- 67.849
4.00 --undefined-- 67.075
pause_7.mp3
0.25 --undefined-- 68.772
0.50 --undefined-- 73.686
0.75 --undefined-- 71.172
1.00 --undefined-- 72.181
1.25 --undefined-- 81.357
1.50 --undefined-- 85.436
1.75 --undefined-- 77.809
2.00 --undefined-- 81.438
2.25 --undefined-- 81.195
2.50 249.330 83.952
2.75 250.448 79.232
3.00 --undefined-- 72.472
3.25 226.052 84.280
3.50 --undefined-- 82.166
3.75 --undefined-- 69.101
4.00 --undefined-- 68.247
4.25 --undefined-- 68.016
4.50 --undefined-- 67.877
4.75 --undefined-- 67.552
5.00 --undefined-- 71.213
pause_8.mp3
0.25 --undefined-- 66.892
0.50 --undefined-- 68.173
0.75 --undefined-- 68.541
1.00 --undefined-- 69.447
1.25 --undefined-- 67.391
1.50 --undefined-- 69.607
1.75 208.316 80.306
2.00 --undefined-- 68.870
2.25 --undefined-- 66.997
2.50 --undefined-- 67.380
2.75 --undefined-- 69.763
3.00 --undefined-- 69.343
pause_9.mp3
0.25 --undefined-- 68.413
0.50 --undefined-- 68.745
0.75 --undefined-- 67.193
1.00 --undefined-- 67.550
1.25 --undefined-- 70.924
1.50 237.273 77.294
1.75 201.456 82.690
2.00 --undefined-- 75.604
2.25 255.633 83.228
2.50 --undefined-- 81.383
2.75 --undefined-- 72.825
3.00 --undefined-- 67.380
3.25 --undefined-- 66.939
3.50 --undefined-- 67.854
3.75 --undefined-- 67.154
4.00 --undefined-- 70.541
4.25 201.889 77.359
4.50 --undefined-- 75.046
4.75 --undefined-- 67.734
5.00 --undefined-- 68.096
5.25 --undefined-- 67.563
5.50 --undefined-- 67.405
